"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "Markdown", "PostCSS", "TypeScript", "JSON with Comments", "TypeScript JSX", "Python", "XML", "HTML", "Docker", "C++", "comment", "blank", "total"
"e:\wireup.ai - new\.claude\settings.local.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"e:\wireup.ai - new\INGESTION\backend\package-lock.json", "JSON", 0, 1432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1433
"e:\wireup.ai - new\INGESTION\backend\package.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"e:\wireup.ai - new\INGESTION\backend\scripts\scanAndExport.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"e:\wireup.ai - new\INGESTION\backend\src\app.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"e:\wireup.ai - new\INGESTION\backend\src\classifiers\familyClassifier.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 89
"e:\wireup.ai - new\INGESTION\backend\src\config\db.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\wireup.ai - new\INGESTION\backend\src\config\env.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\wireup.ai - new\INGESTION\backend\src\controllers\ingestion.controller.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 137
"e:\wireup.ai - new\INGESTION\backend\src\discovery\kicad\kicadSymbolExtractor.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 73
"e:\wireup.ai - new\INGESTION\backend\src\discovery\kicad\sexpr.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 99
"e:\wireup.ai - new\INGESTION\backend\src\discovery\providerRegistry.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
